month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,charitable_percent_covered
01,2019,Avondale,31,11,0,20,216.8175,430.9949,12570,5516,3724,1951,395,3.17,0.385605511240029,0.6611315390110255,2.148326173428799,1,1169010,3705761.6999999997,916726.1523,0.24737860297385017,60996,0.052177483511689375,0.9606876254965651,0,0,0,0,0,0,0
01,2019,Bond Hill,31,11,0,20,216.8175,430.9949,7174,3182,1642,974,210,3.17,0.16656191074795726,0.8611707186958055,2.209983272930025,1,667182,2114966.94,228427.297,0.10800513836873497,30784,0.04614033352218735,1.0153161905867278,0,0,0,0,0,0,0
01,2019,California,31,11,0,20,216.8175,430.9949,976,373,197,71,77,3.17,0,0.9956553542619007,2.62,0.13,90768,287734.56,0,0,500.2400000000001,0.005511193372113522,1.0011665476340141,0,0,0,0,0,0,0
01,2019,Camp Washington,31,11,0,20,216.8175,430.9949,1396,446,230,90,47,3.17,0.3116591928251121,0.8501947443173294,2.36,1,129828,411554.76,59908.291099999995,0.14556578351809124,3562,0.02743630033582894,1.0231968281712496,0,0,0,0,0,0,0
01,2019,Carthage,31,11,0,20,216.8175,430.9949,2940,1039,1017,569,245,3.17,0.2685274302213667,0.7982502251174716,2.82,1,273420,866741.4,120247.57710000001,0.13873524109959443,21164,0.07740472533099262,1.0143901915480587,0,0,0,0,0,0,0
01,2019,Clifton,31,11,0,20,216.8175,430.9949,8552,4156,1437,824,202,3.17,0.06328200192492782,0.8672853664619448,2.0589897100093544,0.4,795336,2521215.12,113351.6587,0.044959138076246345,10670.4,0.01341621654244244,0.9256607210806335,0,0,0,0,0,0,0
01,2019,College Hill,31,11,0,20,216.8175,430.9949,16403,7201,3858,2424,568,3.17,0.1478961255381197,0.848234994555465,2.259642138633177,1,1525479,4835768.43,459009.5685,0.09491967515491638,77792,0.050995130054232146,0.9941497997646136,0,0,0,0,0,0,0
01,2019,Columbia Tusculum,31,11,0,20,216.8175,430.9949,1573,741.3396774193549,288.72161290322583,145.62935483870967,42.115806451612904,3.17,0,0.9850607880963806,2.12,0.13,146289,463736.13,0,0,634.5786451612904,0.004337842525147417,0.9893986306215281,0,0,0,0,0,0,0
01,2019,Corryville,31,11,0,20,216.8175,430.9949,3984,1863,206,56,28,3.17,0.0880300590445518,0.7070811543521907,2.071882530120482,1,370512,1174523.04,70683.1636,0.060180312512217726,2184,0.005894545925638036,0.7731560127900464,0,0,0,0,0,0,0
01,2019,CUF,31,11,0,20,216.8175,430.9949,16974,5547,607,271,122,3.17,0.07066882999819722,0.7571902223251153,2.238798161894662,1,1578582,5004104.9399999995,168950.00079999998,0.033762281731845534,10218,0.006472897828557528,0.7974254018855185,0,0,0,0,0,0,0
01,2019,Downtown,31,11,0,20,216.8175,430.9949,3857,2785.980014803849,161.09104367135456,42.3560325684678,9.40118430792006,3.17,0.10599732880535644,0.8943409124341305,1.3550661135597617,1,358701,1137082.17,127275.56943678758,0.1119317255997318,1345.6876387860843,0.003751558090961788,1.010024196124824,0,0,0,0,0,0,0
01,2019,East End,31,11,0,20,216.8175,430.9949,1601,747,314,157,70,3.17,0.0963855421686747,0.9061271110167556,2.13,1,148893,471990.81,31031.632799999996,0.06574626484782616,5902,0.03963920399212858,1.0115125798567104,0,0,0,0,0,0,0
01,2019,East Price Hill,31,11,0,20,216.8175,430.9949,13848,5640,3857,2225,513,3.17,0.32269503546099293,0.787443660994303,2.4111062969381862,1,1287864,4082528.88,784410.718,0.19213843699741323,71188,0.05527602293409863,1.034858120925815,0,0,0,0,0,0,0
01,2019,East Walnut Hills,31,11,0,20,216.8175,430.9949,3905,2374.6651670951155,354.9685089974293,161.9228791773779,64.96015424164524,3.17,0.0548254807402153,0.9398046942132029,1.62701152368758,1,363165,1151233.05,56112.15671407454,0.04874091889046665,5898.958868894602,0.01624319212725511,1.0047888052309246,0,0,0,0,0,0,0
01,2019,East Westwood,31,11,0,20,216.8175,430.9949,2503,1090.543121232713,808.9919767632562,456.43811819522045,169.63801571519184,3.17,0.33312741973008175,0.74496052244973,2.271434278865361,1,232779,737909.4299999999,156576.0579526953,0.21218872071155848,16277.979481670722,0.06992890029457434,1.027078143455863,0,0,0,0,0,0,0
01,2019,English Woods,31,11,0,20,216.8175,430.9949,474,204.5326968973747,158.82959427207638,87.1073985680191,25.114081145584727,3.17,0.3694690265486726,0.6331795120969427,2.26,1,44082,139739.94,32569.636557708833,0.23307321126450198,2917.7584725536994,0.06618933969769292,0.9324420630591376,0,0,0,0,0,0,0
01,2019,Evanston,31,11,0,20,216.8175,430.9949,8382,3597.7072654290737,1822.8614010348233,1000.7328668759236,406.4947770094157,3.17,0.18805791287811816,0.8339138293209494,2.1589895013123357,0.36,779526,2471097.42,291601.37415285804,0.11800480701115298,13171.650746766776,0.0168969999034885,0.9688156362355909,0,0,0,0,0,0,0
01,2019,Hartwell,31,11,0,20,216.8175,430.9949,5397,2651,829,241,190,3.17,0.10562052055827989,0.9163390716745318,1.98,1,501921,1591089.57,120678.57199999999,0.07584649806987295,11206,0.022326222652568832,1.0145117923969735,0,0,0,0,0,0,0
