month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage,monthly_nbhd_meals,meal_percent_fsb_covered,monthly_nbhd_meals_lasoupe,meal_percent_lasoupe_covered,whole_again_meals,meal_percent_whole_again_covered,cfs_meals,meal_percent_cfs_covered,monthly_nbhd_meals_library,meal_percent_library_covered,charitable_percent_covered
1,2022,CUF,31,13,0,18,246.02,485.19,17703,5839,590,332,135,4.1,0.047097106,0.778482266,2.260336397,1,1646379,6750153.9,133427.25,0.019766549,10927.8,0.006637475,0.804886291,23308.01125,0.014157136,0,0,0,0,0,0,0,0,0.014157136
1,2022,Downtown,31,13,0,18,246.02,485.19,5257.262028,3281.935603,263.9726129,50.43523316,0,4.1,0.057514217,0.93358807,1.474933886,1,488925.3686,2004594.011,91583.47319,0.045686794,1180.184456,0.002413834,0.981688697,4601.673833,0.009411812,0,0,0,0,0,0,0,0,0.009411812
1,2022,East End,31,13,0,18,246.02,485.19,1430,707,161,88,24,4.1,0.101838755,0.944726758,2,1,132990,545259,34933.68,0.064068048,2620.8,0.019706745,1.028501551,810.0431667,0.006091008,125,9.40E-04,0,0,0,0,0,0,0.007030928
1,2022,East Price Hill,31,13,0,18,246.02,485.19,15908,6082,5021,2667,762,4.1,0.29118711,0.723129086,2.611281774,1,1479444,6065720.4,859271.49,0.141660254,80238.6,0.054235645,0.919024985,22788.9805,0.015403747,8889.25,0.006008507,0,0,0,0,0,0,0.021412254
1,2022,East Walnut Hills,31,13,0,18,246.02,485.19,4012.088046,2493.270566,399.2056555,215.1201799,60.33868895,4.1,0.035380584,0.913265016,1.603667093,1,373124.1883,1529809.172,42800.24383,0.027977505,6445.737532,0.017275046,0.958517567,3590.391833,0.009622512,605.8333334,0.001623677,0,0,0,0,0,0,0.011246189
1,2022,East Westwood,31,13,0,18,246.02,485.19,2434.307438,1059.651077,735.5904287,462.9622519,116.2436471,4.1,0.373495044,0.696477431,2.276188574,1,226390.5917,928201.426,192025.7933,0.206879442,13553.41804,0.059867409,0.963224281,661.4853333,0.002921876,871.6666665,0.003850278,0,0,0,0,0,0,0.006772154
1,2022,English Woods,31,13,0,18,246.02,485.19,489.8377088,235.3031026,125.1178998,51.58568019,21.94653938,4.1,0.273076923,0.710655115,2.05,1,45554.90692,186775.1184,31176.29453,0.166918885,1720.653938,0.03777099,0.91534499,400,0.008780613,1225,0.026890627,0,0,0,0,0,0,0.03567124
1,2022,Evanston,31,13,0,18,246.02,485.19,8354.011328,3434.786071,1417.954873,731.6112308,313.4879268,4.1,0.112565559,0.869583815,2.133520639,0.36,776923.0535,3185384.519,187593.1886,0.05889185,8803.915303,0.011331773,0.939807438,10916.00692,0.014050306,1660,0.002136634,0,0,0,0,0,0,0.01618694
1,2022,Hartwell,31,13,0,18,246.02,485.19,5237,2448,965,379,237,4.1,0.100081699,0.917389358,2.04,1,487041,1996868.1,118871.55,0.059528994,14414.4,0.029595866,1.006514218,4930.928167,0.010124257,40,8.21E-05,0,0,0,0,0,0,0.010206385
1,2022,Hyde Park,31,13,0,18,246.02,485.19,13530,6580,2465,1297,355,4.1,0.013981763,0.94137498,2.039088857,0.65,1258290,5158989,44637.48,0.00865237,25126.92,0.019969101,0.969996451,362.975,2.88E-04,0,0,0,0,0,0,0,0,2.88E-04
